variant_id,model_id,kind,operator,family,tolerance_multiplier,class
m-wrong_channel-091a20b452,pospischil2008_lts,mutant,wrong_channel,reference,0.5,5_non_equivalent
m-wrong_channel-091a20b452,pospischil2008_lts,mutant,wrong_channel,reference,1.0,5_non_equivalent
m-wrong_channel-091a20b452,pospischil2008_lts,mutant,wrong_channel,reference,2.0,5_non_equivalent
m-wrong_channel-091a20b452,pospischil2008_lts,mutant,wrong_channel,reference,4.0,5_non_equivalent
m-wrong_channel-b78286d788,pospischil2008_lts,mutant,wrong_channel,reference,0.5,2_non_executable
m-wrong_channel-b78286d788,pospischil2008_lts,mutant,wrong_channel,reference,1.0,2_non_executable
m-wrong_channel-b78286d788,pospischil2008_lts,mutant,wrong_channel,reference,2.0,2_non_executable
m-wrong_channel-b78286d788,pospischil2008_lts,mutant,wrong_channel,reference,4.0,2_non_executable
m-omit_include-0307bc9abe,pospischil2008_lts,mutant,omit_include,reference,0.5,1_structurally_invalid
m-omit_include-0307bc9abe,pospischil2008_lts,mutant,omit_include,reference,1.0,1_structurally_invalid
m-omit_include-0307bc9abe,pospischil2008_lts,mutant,omit_include,reference,2.0,1_structurally_invalid
m-omit_include-0307bc9abe,pospischil2008_lts,mutant,omit_include,reference,4.0,1_structurally_invalid
m-omit_include-7207b139f8,pospischil2008_lts,mutant,omit_include,reference,0.5,2_non_executable
m-omit_include-7207b139f8,pospischil2008_lts,mutant,omit_include,reference,1.0,2_non_executable
m-omit_include-7207b139f8,pospischil2008_lts,mutant,omit_include,reference,2.0,2_non_executable
m-omit_include-7207b139f8,pospischil2008_lts,mutant,omit_include,reference,4.0,2_non_executable
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,mutant,duplicate_conductance,reference,0.5,5_non_equivalent
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,mutant,duplicate_conductance,reference,1.0,5_non_equivalent
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,mutant,duplicate_conductance,reference,2.0,5_non_equivalent
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,mutant,duplicate_conductance,reference,4.0,5_non_equivalent
m-duplicate_conductance-e09481d53c,pospischil2008_lts,mutant,duplicate_conductance,reference,0.5,5_non_equivalent
m-duplicate_conductance-e09481d53c,pospischil2008_lts,mutant,duplicate_conductance,reference,1.0,5_non_equivalent
m-duplicate_conductance-e09481d53c,pospischil2008_lts,mutant,duplicate_conductance,reference,2.0,5_non_equivalent
m-duplicate_conductance-e09481d53c,pospischil2008_lts,mutant,duplicate_conductance,reference,4.0,5_non_equivalent
