mutant_id,model_id,family,protocol_id,detected
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,reference,P06_ramp,False
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,reference,P07_hyperpolarizing_step,False
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,reference,P08_rebound,False
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,reference,P09_short_pulse,False
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,reference,P10_paired_pulses,False
m-duplicate_conductance-49ac9c1585,pospischil2008_lts,reference,P03_rheobase,False
m-duplicate_conductance-e09481d53c,pospischil2008_lts,reference,P00_canonical,True
m-duplicate_conductance-e09481d53c,pospischil2008_lts,reference,P01_baseline,False
m-duplicate_conductance-e09481d53c,pospischil2008_lts,reference,P02_weak_step,False
m-duplicate_conductance-e09481d53c,pospischil2008_lts,reference,P04_step_2x,True
m-duplicate_conductance-e09481d53c,pospischil2008_lts,reference,P05_long_step,True
m-duplicate_conductance-e09481d53c,pospischil2008_lts,reference,P06_ramp,False
m-duplicate_conductance-e09481d53c,pospischil2008_lts,reference,P07_hyperpolarizing_step,False
m-duplicate_conductance-e09481d53c,pospischil2008_lts,reference,P08_rebound,False
m-duplicate_conductance-e09481d53c,pospischil2008_lts,reference,P09_short_pulse,False
m-duplicate_conductance-e09481d53c,pospischil2008_lts,reference,P10_paired_pulses,False
m-duplicate_conductance-e09481d53c,pospischil2008_lts,reference,P03_rheobase,False
